Courant;Position;Vitesse 
0;0;65535 
2351;0;65535 
2345;1;65535 
2202;1;65535 
3072;1;65535 
3009;1;65535 
3009;1;65535 
3009;1;65535 
2856;2;65535 
3026;2;65535 
3076;3;65535 
2654;3;65535 
2654;3;65535 
2654;3;65535 
2859;4;42790 
2474;4;42790 
2600;5;42790 
2842;5;42790 
3022;6;42790 
3022;7;42790 
3022;7;42790 
2592;7;42790 
2056;8;877 
2395;9;877 
3192;10;877 
3192;11;877 
3192;11;877 
2584;12;672 
2108;12;672 
2797;14;672 
2182;15;672 
2338;15;672 
2338;16;576 
2576;17;576 
2265;18;576 
1840;19;576 
2518;19;576 
1990;20;525 
1990;22;525 
1990;23;525 
2410;23;525 
2289;24;526 
2044;25;526 
2644;26;526 
2644;27;526 
2644;28;518 
2110;29;518 
2429;30;518 
2467;31;518 
2749;31;518 
2267;32;522 
2267;34;522 
2580;35;522 
2572;35;522 
2114;36;516 
2518;37;516 
2083;38;516 
2083;39;516 
2083;40;497 
1911;41;497 
2214;42;497 
2653;43;497 
2439;44;494 
2342;45;494 
2342;46;494 
2699;47;494 
2156;48;472 
2429;49;472 
2404;51;472 
2190;51;472 
2190;52;451 
2190;54;451 
1869;55;451 
2401;55;451 
2119;57;433 
1994;58;433 
1994;59;433 
1994;60;412 
2353;62;412 
2025;63;412 
2154;64;406 
2295;65;406 
2418;67;406 
2418;67;406 
2418;69;388 
2195;71;388 
2441;71;388 
1792;73;380 
2102;74;380 
2102;75;380 
2102;77;370 
1901;78;370 
2088;79;370 
1990;81;356 
2301;82;356 
2323;83;356 
2323;85;357 
2578;86;357 
2154;87;357 
1996;89;345 
2146;91;345 
2256;92;340 
2256;93;340 
2256;95;340 
1960;96;333 
2046;98;333 
1955;99;333 
1988;100;324 
1988;102;324 
1988;103;324 
1675;105;324 
2062;107;324 
2086;108;316 
2491;110;316 
2204;111;316 
2204;112;315 
2204;114;315 
2084;115;315 
1796;117;311 
1303;119;311 
1744;120;303 
1744;122;303 
1744;123;303 
1858;125;307 
1781;127;307 
1700;128;301 
2106;130;301 
2282;131;301 
2282;133;302 
684;135;302 
1648;136;301 
1647;138;301 
1974;139;301 
1991;141;296 
1991;143;296 
1991;144;299 
1981;146;299 
2009;147;299 
2153;149;295 
1796;151;295 
1796;152;292 
1796;154;292 
1006;156;292 
585;158;292 
304;159;292 
304;161;288 
626;163;288 
626;164;298 
626;166;298 
1204;167;298 
1006;169;298 
1373;171;298 
1923;172;299 
1923;174;299 
1923;175;299 
1593;177;296 
1578;179;296 
1769;180;288 
2063;182;288 
2114;183;288 
2114;185;290 
2101;187;290 
1398;189;284 
1867;191;284 
1465;192;282 
2038;194;282 
2038;195;282 
2038;197;280 
1414;199;280 
1347;201;276 
1581;203;276 
1311;204;279 
1311;206;279 
1311;207;279 
2101;209;276 
1580;211;276 
1670;213;276 
1453;215;276 
1850;216;276 
1850;218;276 
1850;220;269 
1855;222;269 
1938;223;269 
1839;225;272 
2023;227;272 
2023;229;268 
2023;231;268 
1242;232;267 
1202;234;267 
1744;236;268 
1858;238;268 
2113;239;268 
2113;241;264 
1750;243;264 
1420;245;267 
1863;247;267 
1495;249;263 
1909;251;263 
1909;252;264 
1909;254;264 
1703;256;263 
1728;258;263 
1979;259;263 
1936;262;258 
1936;263;65535 
1936;265;261 
1822;267;261 
1334;269;255 
1728;271;255 
1607;273;255 
1513;275;255 
1513;276;253 
1513;279;253 
1524;280;249 
1592;283;249 
1770;284;251 
1857;286;251 
1857;288;248 
1857;290;248 
1582;292;249 
1729;294;249 
1968;296;248 
1770;298;248 
1982;299;248 
1982;302;245 
